"","Baso","Ccr7_DC","Eos","Erythroid","Lymphoid","Mast","Meg","Monocyte","Neutrophil","pDC","Undifferentiated"
"1406",14,0,0,0,0,0,0,0,0,0,0
"1409",0,0,0,0,0,0,0,0,1,0,1
"1413",0,0,0,0,0,0,2,0,0,0,1
"1421",0,0,0,0,0,0,1,0,0,0,1
"1430",0,0,0,0,0,0,0,0,2,0,1
"1435",2,0,0,0,0,0,0,0,0,0,1
"1436",0,0,0,0,0,0,0,0,0,0,2
"1437",0,1,0,0,0,0,0,0,0,1,2
"1441",0,0,0,0,0,0,0,0,0,0,34
"1442",0,0,0,0,0,0,0,0,0,0,1
"1444",0,0,0,0,0,2,0,0,0,0,0
"1451",0,0,0,0,0,0,0,6,5,0,11
"1452",0,0,0,0,0,0,0,15,0,0,5
"1453",0,0,0,0,0,0,0,1,4,0,6
"1455",0,0,0,0,0,0,0,0,38,0,1
"1456",0,0,0,0,0,0,3,0,0,0,0
