"","Baso_lk","Ccr7DC_lk","Eos_lk","Erythroid_lk","Lymphoid_lk","Mast_lk","Meg_lk","Monocyte_lk","Neutrophil_lk","pDC_lk","Undifferentiated_lk","Baso_lsk","Ccr7DC_lsk","Eos_lsk","Erythroid_lsk","Lymphoid_lsk","Mast_lsk","Meg_lsk","Monocyte_lsk","Neutrophil_lsk","pDC_lsk","Undifferentiated_lsk"
"1133_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"1134_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1135_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"1136_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"1137_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5
"1138_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8
"1139_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"114_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"1140_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1141 _lk",51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1142 _lk",3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
"1143 _lk",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1144_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"1145 _lk",0,0,0,0,0,0,0,8,3,0,4,0,0,0,0,0,0,0,0,0,0,0
"1146 _lk",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"1147 _lk",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"1148_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1149_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"115_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"1150_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,5
"1151_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1152 _lk",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"1153_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1154_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
"1155_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1156_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1157 _lk",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"1158 _lk",0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"1159 _lk",9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"116_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1160 _lk",0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0
"1161 _lk",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1162 _lk",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1163_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"1164_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1165 _lk",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1166_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1167_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12
"1168_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1169_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"117 _lk",0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"1170_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1171_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,4
"1172 _lk",0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
"1173_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
"1174_lsk",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6
"1175 _lk",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"1176 _lk",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"1177_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1178 _lk",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"1179_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"118 _lk",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1180_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6
"1181 _lk",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1182_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2
"1183_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
"1184_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6
"1185 _lk",48,0,0,2,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
"1186_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"1187 _lk",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"1188 _lk",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1189 _lk",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
"1190 _lk",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"1191_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1
"1192_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1193_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"1194 _lk",0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"1195 _lk",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"1196_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1197_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"1198 _lk",0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
"1199_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
"12 _lk",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"120_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1200_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
"1201_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1202_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
"1203_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12
"1204 _lk",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"1205_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
"1206_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"1207 _lk",0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0
"1208_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12
"1209 _lk",0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"121 _lk",0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
"1210_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
