"","Baso","Ccr7_DC","Eos","Erythroid","Lymphoid","Mast","Meg","Monocyte","Neutrophil","pDC","Undifferentiated"
"839",0,0,0,0,0,0,0,3,0,0,4
"842",0,1,0,0,0,0,0,3,0,0,5
"844",0,0,0,0,0,8,0,0,1,0,5
"846",0,0,0,0,0,0,0,14,0,0,4
"848",0,0,0,0,0,0,0,1,0,0,2
"849",0,0,0,0,0,0,0,0,0,0,2
"850",0,0,0,0,0,0,0,0,1,0,5
"852",0,0,0,0,0,0,0,0,2,0,14
"855",0,0,0,0,0,0,0,0,0,0,14
"857",0,0,0,0,0,0,0,2,0,0,2
"858",0,0,0,0,0,0,0,0,0,0,2
"859",0,0,0,0,0,0,0,0,0,0,21
"860",0,0,0,0,0,0,0,4,0,0,1
"861",0,0,0,0,0,0,0,0,0,0,6
"863",0,0,0,0,0,0,0,0,0,0,24
"864",1,0,0,0,0,0,0,0,0,0,1
"865",0,0,0,0,0,0,0,0,0,0,4
"867",0,0,0,0,1,0,0,0,0,0,1
"868",3,0,0,0,0,0,0,0,0,0,6
"870",0,0,0,0,0,2,0,0,0,0,0
"871",3,0,0,0,0,0,0,0,0,0,0
"876",0,0,0,0,0,5,0,0,0,0,0
"877",0,0,0,0,0,0,0,0,0,0,5
